SequenceID	contig_id	viralID	VS2_length	keep_cat	is.suspect	manual_approve	is_phage
Cen08_13102015_R1_S1	NODE_1507_length_12449_cov_2.899854	NODE_1507_length_12449_cov_2.899854__full	12449	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1778_length_11294_cov_2.154115	NODE_1778_length_11294_cov_2.154115__full	11294	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1779_length_11292_cov_4.158621	NODE_1779_length_11292_cov_4.158621__full	11292	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_189_length_42884_cov_4.332624	NODE_189_length_42884_cov_4.332624__full	42884	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_1925_length_10786_cov_1.775683	NODE_1925_length_10786_cov_1.775683__full	10786	Manual	0	Approved	1
Cen08_13102015_R1_S1	NODE_199_length_41074_cov_7.129802	NODE_199_length_41074_cov_7.129802__full	41074	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_208_length_40135_cov_7.856004	NODE_208_length_40135_cov_7.856004__full	40135	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2296_length_9809_cov_3.167114	NODE_2296_length_9809_cov_3.167114__full	9809	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2309_length_9789_cov_2.412337	NODE_2309_length_9789_cov_2.412337__full	9789	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2352_length_9694_cov_2.232361	NODE_2352_length_9694_cov_2.232361__full	9694	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2396_length_9611_cov_2.180936	NODE_2396_length_9611_cov_2.180936__full	9611	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_2509_length_9341_cov_5.509442	NODE_2509_length_9341_cov_5.509442__full	9341	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_253_length_34810_cov_3.536315	NODE_253_length_34810_cov_3.536315__full	34810	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2585_length_9184_cov_2.184498	NODE_2585_length_9184_cov_2.184498__full	9184	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2590_length_9174_cov_2.326185	NODE_2590_length_9174_cov_2.326185__full	9174	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2631_length_9068_cov_4.005033	NODE_2631_length_9068_cov_4.005033__full	9068	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_266_length_33785_cov_2.613376	NODE_266_length_33785_cov_2.613376__full	33785	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2867_length_8640_cov_2.308352	NODE_2867_length_8640_cov_2.308352__full	8640	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_2879_length_8620_cov_4.602614	NODE_2879_length_8620_cov_4.602614__full	8620	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_2954_length_8485_cov_1.506222	NODE_2954_length_8485_cov_1.506222__full	8485	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2979_length_8445_cov_2.514667	NODE_2979_length_8445_cov_2.514667__full	8445	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_2993_length_8417_cov_3.289505	NODE_2993_length_8417_cov_3.289505__full	8417	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_2_length_456455_cov_11.910709	NODE_2_length_456455_cov_11.910709__0_partial	18658	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3255_length_8061_cov_1.857449	NODE_3255_length_8061_cov_1.857449__full	8061	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3331_length_7951_cov_2.359790	NODE_3331_length_7951_cov_2.359790__full	7951	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3390_length_7876_cov_2.137566	NODE_3390_length_7876_cov_2.137566__full	7876	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3402_length_7860_cov_2.695849	NODE_3402_length_7860_cov_2.695849__full	7860	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3439_length_7814_cov_2.512684	NODE_3439_length_7814_cov_2.512684__full	7814	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3467_length_7779_cov_4.520518	NODE_3467_length_7779_cov_4.520518__full	7779	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3511_length_7715_cov_2.307723	NODE_3511_length_7715_cov_2.307723__full	7715	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3531_length_7688_cov_1.792885	NODE_3531_length_7688_cov_1.792885__full	7688	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3598_length_7613_cov_1.882447	NODE_3598_length_7613_cov_1.882447__full	7613	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3782_length_7412_cov_4.595607	NODE_3782_length_7412_cov_4.595607__full	7412	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3783_length_7411_cov_2.138111	NODE_3783_length_7411_cov_2.138111__full	7411	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3861_length_7334_cov_2.545026	NODE_3861_length_7334_cov_2.545026__full	7334	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_38_length_121669_cov_4.015567	NODE_38_length_121669_cov_4.015567__0_partial	12869	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3900_length_7301_cov_1.852941	NODE_3900_length_7301_cov_1.852941__full	7301	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_3920_length_7276_cov_3.003217	NODE_3920_length_7276_cov_3.003217__full	7276	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_3922_length_7276_cov_1.575325	NODE_3922_length_7276_cov_1.575325__full	7276	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4048_length_7146_cov_2.617039	NODE_4048_length_7146_cov_2.617039__full	7146	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4051_length_7143_cov_2.661060	NODE_4051_length_7143_cov_2.661060__full	7143	Keep2	1	Unapproved	0
Cen08_13102015_R1_S1	NODE_4064_length_7129_cov_2.645530	NODE_4064_length_7129_cov_2.645530__full	7129	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4153_length_7053_cov_8.451487	NODE_4153_length_7053_cov_8.451487__full	7053	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_420_length_25290_cov_4.563407	NODE_420_length_25290_cov_4.563407__full	25290	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4251_length_6956_cov_1.811246	NODE_4251_length_6956_cov_1.811246__full	6956	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_4258_length_6952_cov_1.095971	NODE_4258_length_6952_cov_1.095971__full	6952	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4390_length_6833_cov_1.587086	NODE_4390_length_6833_cov_1.587086__full	6833	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_442_length_24358_cov_6.772151	NODE_442_length_24358_cov_6.772151__full	24358	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_457_length_23971_cov_3.114201	NODE_457_length_23971_cov_3.114201__full	23971	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4610_length_6659_cov_17.823331	NODE_4610_length_6659_cov_17.823331__full	6659	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4614_length_6655_cov_7.405944	NODE_4614_length_6655_cov_7.405944__full	6655	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_4863_length_6479_cov_2.304943	NODE_4863_length_6479_cov_2.304943__full	6479	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_506_length_22488_cov_2.028800	NODE_506_length_22488_cov_2.028800__full	22488	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5075_length_6318_cov_1.621063	NODE_5075_length_6318_cov_1.621063__full	6318	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5132_length_6291_cov_3.116158	NODE_5132_length_6291_cov_3.116158__full	6291	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_5136_length_6289_cov_2.423401	NODE_5136_length_6289_cov_2.423401__full	6289	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_523_length_21905_cov_3.389476	NODE_523_length_21905_cov_3.389476__full	21905	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5260_length_6216_cov_2.145344	NODE_5260_length_6216_cov_2.145344__full	6216	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5270_length_6208_cov_2.657951	NODE_5270_length_6208_cov_2.657951__full	6208	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5360_length_6142_cov_2.932336	NODE_5360_length_6142_cov_2.932336__full	6142	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_5378_length_6132_cov_17.701749	NODE_5378_length_6132_cov_17.701749__full	6132	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_5439_length_6091_cov_1.678404	NODE_5439_length_6091_cov_1.678404__full	6091	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_5502_length_6053_cov_1.466588	NODE_5502_length_6053_cov_1.466588__full	6053	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_5536_length_6030_cov_9.621718	NODE_5536_length_6030_cov_9.621718__full	6030	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_560_length_21202_cov_6.720142	NODE_560_length_21202_cov_6.720142__full	21202	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5760_length_5901_cov_2.226360	NODE_5760_length_5901_cov_2.226360__full	5901	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5800_length_5879_cov_1.857267	NODE_5800_length_5879_cov_1.857267__full	5879	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_5815_length_5870_cov_1.916420	NODE_5815_length_5870_cov_1.916420__full	5870	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_597_length_20572_cov_1.712448	NODE_597_length_20572_cov_1.712448__full	20572	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6078_length_5741_cov_1.966334	NODE_6078_length_5741_cov_1.966334__full	5741	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6167_length_5698_cov_1.452342	NODE_6167_length_5698_cov_1.452342__full	5698	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6260_length_5660_cov_1.806434	NODE_6260_length_5660_cov_1.806434__full	5660	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6313_length_5639_cov_5.284107	NODE_6313_length_5639_cov_5.284107__full	5639	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6425_length_5585_cov_1.429645	NODE_6425_length_5585_cov_1.429645__full	5585	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6466_length_5565_cov_1.997793	NODE_6466_length_5565_cov_1.997793__full	5565	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6530_length_5536_cov_1.388057	NODE_6530_length_5536_cov_1.388057__full	5536	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6538_length_5532_cov_5.099722	NODE_6538_length_5532_cov_5.099722__full	5532	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6540_length_5532_cov_2.147641	NODE_6540_length_5532_cov_2.147641__full	5532	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6572_length_5517_cov_2.647124	NODE_6572_length_5517_cov_2.647124__full	5517	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6605_length_5496_cov_2.497299	NODE_6605_length_5496_cov_2.497299__full	5496	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6728_length_5440_cov_1.482778	NODE_6728_length_5440_cov_1.482778__full	5440	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6828_length_5396_cov_2.060353	NODE_6828_length_5396_cov_2.060353__full	5396	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6851_length_5388_cov_10.397073	NODE_6851_length_5388_cov_10.397073__full	5388	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6857_length_5386_cov_1.745769	NODE_6857_length_5386_cov_1.745769__full	5386	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6880_length_5374_cov_2.378693	NODE_6880_length_5374_cov_2.378693__full	5374	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6887_length_5372_cov_1.131554	NODE_6887_length_5372_cov_1.131554__full	5372	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6905_length_5366_cov_1.489597	NODE_6905_length_5366_cov_1.489597__full	5366	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6935_length_5351_cov_1.218798	NODE_6935_length_5351_cov_1.218798__full	5351	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_6958_length_5341_cov_1.618527	NODE_6958_length_5341_cov_1.618527__full	5341	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_6986_length_5330_cov_2.830290	NODE_6986_length_5330_cov_2.830290__full	5330	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7030_length_5316_cov_1.566198	NODE_7030_length_5316_cov_1.566198__full	5316	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7072_length_5297_cov_3.874855	NODE_7072_length_5297_cov_3.874855__full	5297	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7084_length_5295_cov_1.203173	NODE_7084_length_5295_cov_1.203173__full	5295	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7161_length_5263_cov_2.037188	NODE_7161_length_5263_cov_2.037188__full	5263	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7180_length_5258_cov_1.870201	NODE_7180_length_5258_cov_1.870201__full	5258	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7271_length_5232_cov_1.757884	NODE_7271_length_5232_cov_1.757884__full	5232	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7304_length_5220_cov_1.564893	NODE_7304_length_5220_cov_1.564893__full	5220	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7376_length_5190_cov_4.193364	NODE_7376_length_5190_cov_4.193364__full	5190	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7433_length_5170_cov_6.271862	NODE_7433_length_5170_cov_6.271862__full	5170	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_759_length_17981_cov_2.113588	NODE_759_length_17981_cov_2.113588__full	17981	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7660_length_5097_cov_1.209859	NODE_7660_length_5097_cov_1.209859__full	5097	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7763_length_5062_cov_1.306991	NODE_7763_length_5062_cov_1.306991__full	5062	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7777_length_5055_cov_2.012581	NODE_7777_length_5055_cov_2.012581__full	5055	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7805_length_5048_cov_1.602113	NODE_7805_length_5048_cov_1.602113__lt2gene	5048	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_7822_length_5041_cov_4.641636	NODE_7822_length_5041_cov_4.641636__full	5041	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7837_length_5038_cov_1.278355	NODE_7837_length_5038_cov_1.278355__full	5038	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7842_length_5035_cov_5.861858	NODE_7842_length_5035_cov_5.861858__full	5035	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7892_length_5017_cov_3.503885	NODE_7892_length_5017_cov_3.503885__full	5017	Keep2	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_7899_length_5013_cov_2.506959	NODE_7899_length_5013_cov_2.506959__full	5013	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_798_length_17368_cov_2.364886	NODE_798_length_17368_cov_2.364886__full	17368	Discard	0	Unapproved	0
Cen08_13102015_R1_S1	NODE_864_length_16739_cov_3.040573	NODE_864_length_16739_cov_3.040573__full	16739	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_916_length_16186_cov_1.853104	NODE_916_length_16186_cov_1.853104__full	16186	Keep1	0	Unapproved	1
Cen08_13102015_R1_S1	NODE_943_length_15976_cov_5.774181	NODE_943_length_15976_cov_5.774181__full	15976	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_104_length_43976_cov_2.777851	NODE_104_length_43976_cov_2.777851__full	43976	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_110_length_42674_cov_2.772651	NODE_110_length_42674_cov_2.772651__full	42674	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1159_length_15582_cov_2.250016	NODE_1159_length_15582_cov_2.250016__full	15582	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_1255_length_14857_cov_2.592668	NODE_1255_length_14857_cov_2.592668__full	14857	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1275_length_14752_cov_1.639179	NODE_1275_length_14752_cov_1.639179__full	14752	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1346_length_14408_cov_1.837336	NODE_1346_length_14408_cov_1.837336__full	14408	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1401_length_14122_cov_1.685602	NODE_1401_length_14122_cov_1.685602__full	14122	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_142_length_37376_cov_6.440602	NODE_142_length_37376_cov_6.440602__full	37376	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1456_length_13835_cov_1.814196	NODE_1456_length_13835_cov_1.814196__full	13835	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1500_length_13685_cov_2.775999	NODE_1500_length_13685_cov_2.775999__full	13685	Manual	0	Approved	1
Cen08_12102016_R1_S2	NODE_1532_length_13598_cov_2.802390	NODE_1532_length_13598_cov_2.802390__full	13598	Manual	0	Approved	1
Cen08_12102016_R1_S2	NODE_1573_length_13438_cov_1.593269	NODE_1573_length_13438_cov_1.593269__full	13438	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1592_length_13377_cov_1.916000	NODE_1592_length_13377_cov_1.916000__full	13377	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1612_length_13251_cov_1.975160	NODE_1612_length_13251_cov_1.975160__full	13251	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1754_length_12681_cov_2.491158	NODE_1754_length_12681_cov_2.491158__full	12681	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1768_length_12623_cov_1.952785	NODE_1768_length_12623_cov_1.952785__full	12623	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_1898_length_12120_cov_1.586175	NODE_1898_length_12120_cov_1.586175__full	12120	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_199_length_32891_cov_2.453394	NODE_199_length_32891_cov_2.453394__full	32891	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2041_length_11660_cov_1.928033	NODE_2041_length_11660_cov_1.928033__full	11660	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2100_length_11473_cov_2.703332	NODE_2100_length_11473_cov_2.703332__full	11473	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2177_length_11254_cov_1.716096	NODE_2177_length_11254_cov_1.716096__full	11254	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2188_length_11226_cov_5.528156	NODE_2188_length_11226_cov_5.528156__full	11226	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2212_length_11161_cov_1.679445	NODE_2212_length_11161_cov_1.679445__full	11161	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2299_length_10933_cov_1.736905	NODE_2299_length_10933_cov_1.736905__full	10933	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_2307_length_10914_cov_1.926671	NODE_2307_length_10914_cov_1.926671__full	10914	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_2671_length_9999_cov_1.664303	NODE_2671_length_9999_cov_1.664303__full	9999	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2706_length_9932_cov_2.115043	NODE_2706_length_9932_cov_2.115043__full	9932	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2878_length_9581_cov_1.938121	NODE_2878_length_9581_cov_1.938121__full	9581	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2886_length_9560_cov_1.687692	NODE_2886_length_9560_cov_1.687692__full	9560	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_2900_length_9527_cov_2.059043	NODE_2900_length_9527_cov_2.059043__full	9527	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_2973_length_9356_cov_2.444469	NODE_2973_length_9356_cov_2.444469__full	9356	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_3064_length_9183_cov_2.124006	NODE_3064_length_9183_cov_2.124006__full	9183	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_3143_length_9022_cov_1.686003	NODE_3143_length_9022_cov_1.686003__full	9022	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_339_length_26434_cov_2.502528	NODE_339_length_26434_cov_2.502528__full	26434	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_3402_length_8547_cov_2.177197	NODE_3402_length_8547_cov_2.177197__full	8547	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_340_length_26423_cov_1.988477	NODE_340_length_26423_cov_1.988477__full	26423	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_3455_length_8457_cov_1.830252	NODE_3455_length_8457_cov_1.830252__full	8457	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_3504_length_8382_cov_1.807753	NODE_3504_length_8382_cov_1.807753__full	8382	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_3631_length_8195_cov_1.872335	NODE_3631_length_8195_cov_1.872335__full	8195	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_3686_length_8106_cov_1.488658	NODE_3686_length_8106_cov_1.488658__full	8106	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_368_length_25514_cov_2.578288	NODE_368_length_25514_cov_2.578288__full	25514	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_3770_length_7961_cov_1.678708	NODE_3770_length_7961_cov_1.678708__full	7961	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_3943_length_7697_cov_1.646103	NODE_3943_length_7697_cov_1.646103__full	7697	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_3989_length_7606_cov_1.542452	NODE_3989_length_7606_cov_1.542452__full	7606	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4004_length_7594_cov_1.946163	NODE_4004_length_7594_cov_1.946163__full	7594	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4010_length_7590_cov_1.700925	NODE_4010_length_7590_cov_1.700925__full	7590	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4025_length_7576_cov_1.346624	NODE_4025_length_7576_cov_1.346624__full	7576	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4093_length_7471_cov_1.904276	NODE_4093_length_7471_cov_1.904276__full	7471	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_412_length_24355_cov_1.518862	NODE_412_length_24355_cov_1.518862__full	24355	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4150_length_7410_cov_1.738020	NODE_4150_length_7410_cov_1.738020__full	7410	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4191_length_7354_cov_1.929293	NODE_4191_length_7354_cov_1.929293__full	7354	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4330_length_7177_cov_2.053617	NODE_4330_length_7177_cov_2.053617__full	7177	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4395_length_7107_cov_1.901433	NODE_4395_length_7107_cov_1.901433__full	7107	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4403_length_7095_cov_6.085390	NODE_4403_length_7095_cov_6.085390__full	7095	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4431_length_7068_cov_1.992796	NODE_4431_length_7068_cov_1.992796__full	7068	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4510_length_6974_cov_2.297941	NODE_4510_length_6974_cov_2.297941__full	6974	Keep1	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4535_length_6951_cov_2.408705	NODE_4535_length_6951_cov_2.408705__full	6951	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4540_length_6945_cov_2.256380	NODE_4540_length_6945_cov_2.256380__full	6945	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4559_length_6928_cov_1.092633	NODE_4559_length_6928_cov_1.092633__full	6928	Keep2	0	Unapproved	1
Cen08_12102016_R1_S2	NODE_4584_length_6908_cov_6.733078	NODE_4584_length_6908_cov_6.733078__full	6908	Discard	0	Unapproved	0
Cen08_12102016_R1_S2	NODE_4709_length_6796_cov_1.964612	NODE_4709_length_6796_cov_1.964612__full	6796	Discard	0	Unapproved	0
